lattgt1 lattgt2 lontgt1 lontgt2 vartgt fpr
41.62222 41.68333 -87.74444 -87.66667 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT 0.512931
41.62222 41.68333 -87.74444 -87.66667 HOMICIDE-ASSAULT-BATTERY 0.476364
41.62222 41.68333 -87.74444 -87.66667 VAR 0.448276
41.62222 41.68333 -87.66667 -87.58889 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT 0.0
41.62222 41.68333 -87.66667 -87.58889 HOMICIDE-ASSAULT-BATTERY 0.0
41.62222 41.68333 -87.58889 -87.51111 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT 0.45614
41.62222 41.68333 -87.58889 -87.51111 HOMICIDE-ASSAULT-BATTERY 0.44736800000000004
41.62222 41.68333 -87.58889 -87.51111 VAR 0.25
41.68333 41.744440000000004 -87.74444 -87.66667 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT 0.0
41.68333 41.744440000000004 -87.74444 -87.66667 HOMICIDE-ASSAULT-BATTERY 0.5
41.68333 41.744440000000004 -87.58889 -87.51111 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT -1.0
41.68333 41.744440000000004 -87.58889 -87.51111 HOMICIDE-ASSAULT-BATTERY -1.0
41.744440000000004 41.80556 -87.82222 -87.74444 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT 0.363636
41.744440000000004 41.80556 -87.82222 -87.74444 HOMICIDE-ASSAULT-BATTERY 0.28571399999999997
41.744440000000004 41.80556 -87.82222 -87.74444 VAR -1.0
41.80556 41.86667 -87.82222 -87.74444 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT 0.41530100000000003
41.80556 41.86667 -87.82222 -87.74444 HOMICIDE-ASSAULT-BATTERY 0.505495
41.80556 41.86667 -87.82222 -87.74444 VAR 0.48148100000000005
41.92778 41.988890000000005 -87.9 -87.82222 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT 0.380952
41.92778 41.988890000000005 -87.9 -87.82222 HOMICIDE-ASSAULT-BATTERY 0.376812
41.92778 41.988890000000005 -87.9 -87.82222 VAR 0.0
41.92778 41.988890000000005 -87.82222 -87.74444 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT -1.0
41.92778 41.988890000000005 -87.82222 -87.74444 HOMICIDE-ASSAULT-BATTERY -1.0
41.92778 41.988890000000005 -87.66667 -87.58889 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT -1.0
41.92778 41.988890000000005 -87.66667 -87.58889 HOMICIDE-ASSAULT-BATTERY -1.0
41.988890000000005 42.05 -87.82222 -87.74444 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT 0.425926
41.988890000000005 42.05 -87.82222 -87.74444 HOMICIDE-ASSAULT-BATTERY 0.48
41.988890000000005 42.05 -87.82222 -87.74444 VAR 0.2
41.988890000000005 42.05 -87.74444 -87.66667 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT -1.0
41.988890000000005 42.05 -87.74444 -87.66667 HOMICIDE-ASSAULT-BATTERY 0.0
41.988890000000005 42.05 -87.66667 -87.58889 BURGLARY-THEFT-MOTOR_VEHICLE_THEFT 0.0
41.988890000000005 42.05 -87.66667 -87.58889 HOMICIDE-ASSAULT-BATTERY 0.25
41.988890000000005 42.05 -87.66667 -87.58889 VAR -1.0
