lat1,lat2,lon1,lon2,target,day,actual_event,negative_event,positive_event,predictions,source,threshold
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,9,0,0.452546,0.547454,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,10,1,0.433375,0.566625,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,11,1,0.395464,0.604536,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,12,0,0.436426,0.563574,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,13,1,0.44966,0.55034,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,14,1,0.418221,0.581779,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,15,1,0.407159,0.592841,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,16,1,0.416716,0.583284,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,17,0,0.42793,0.57207,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,18,0,0.446948,0.553052,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,19,1,0.412875,0.587125,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,20,1,0.43384,0.56616,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,21,0,0.395449,0.604551,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,22,0,0.428712,0.571288,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,23,0,0.440383,0.559617,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,24,1,0.4241,0.5759,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,25,0,0.458388,0.541612,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,26,1,0.417858,0.582142,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,27,0,0.437943,0.562057,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,28,1,0.422282,0.577718,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,29,0,0.439245,0.560755,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,30,0,0.456775,0.543225,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,31,0,0.451345,0.548655,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,32,0,0.422319,0.577681,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,33,1,0.401728,0.598272,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,34,1,0.434019,0.565981,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,35,1,0.435355,0.564645,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,36,0,0.453497,0.546503,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,37,1,0.434116,0.565884,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,38,0,0.446906,0.553094,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,39,0,0.459736,0.540264,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,40,0,0.427262,0.572738,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,41,0,0.466204,0.533796,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,42,0,0.464391,0.535609,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,43,0,0.439424,0.560576,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,44,0,0.450037,0.549963,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.5752
