lat1,lat2,lon1,lon2,target,day,actual_event,negative_event,positive_event,predictions,source,threshold
41.62222,41.68333,-87.58889,-87.51111,VAR,7,1,0.246835,0.753165,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,8,0,0.182194,0.817806,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,9,0,0.23205,0.76795,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,10,1,0.193879,0.806121,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,11,1,0.214061,0.785939,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,12,0,0.247875,0.752125,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,13,0,0.192331,0.807669,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,14,1,0.196391,0.803609,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,15,1,0.215867,0.784133,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,16,0,0.220195,0.779805,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,17,0,0.261355,0.738645,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,18,0,0.230257,0.769743,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,19,1,0.224616,0.775384,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,20,0,0.245251,0.754749,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,21,1,0.250926,0.749074,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,22,1,0.242176,0.757824,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,23,0,0.275133,0.724867,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,24,1,0.233884,0.766116,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,25,1,0.229824,0.770176,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,26,1,0.233843,0.766157,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,27,1,0.227164,0.772836,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,28,1,0.217435,0.782565,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,29,1,0.231501,0.768499,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,30,1,0.215842,0.784158,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,31,1,0.254793,0.745207,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,32,0,0.239926,0.760074,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,33,1,0.227024,0.772976,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,34,1,0.263569,0.736431,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,35,1,0.234534,0.765466,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,36,0,0.242801,0.757199,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,37,0,0.238478,0.761522,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,38,1,0.236416,0.763584,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,39,1,0.253479,0.746521,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,40,0,0.253798,0.746202,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,41,1,0.248843,0.751157,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,42,1,0.21022,0.78978,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,43,1,0.220976,0.779024,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,44,1,0.214173,0.785827,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,45,0,0.251212,0.748788,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,46,0,0.260574,0.739426,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,47,1,0.250488,0.749512,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,48,1,0.242456,0.757544,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,49,0,0.253789,0.746211,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,50,0,0.247213,0.752787,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,51,1,0.237659,0.762341,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,52,1,0.21496,0.78504,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,53,1,0.230902,0.769098,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,54,1,0.239235,0.760765,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,55,1,0.24196,0.75804,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,56,0,0.263756,0.736244,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,57,0,0.233264,0.766736,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,58,0,0.258271,0.741729,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,59,0,0.262378,0.737622,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,60,1,0.244175,0.755825,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,61,1,0.23348,0.76652,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,62,1,0.20473,0.79527,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,63,1,0.243229,0.756771,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,64,0,0.229102,0.770898,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,65,1,0.238851,0.761149,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,66,1,0.23617,0.76383,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,67,1,0.238488,0.761512,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,68,1,0.235031,0.764969,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,69,1,0.209119,0.790881,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,70,1,0.232078,0.767922,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,71,1,0.222707,0.777293,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,72,1,0.219567,0.780433,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,73,0,0.26792,0.73208,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,74,0,0.238277,0.761723,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,75,0,0.23297,0.76703,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,76,1,0.23611,0.76389,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,77,0,0.246167,0.753833,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,78,0,0.228472,0.771528,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,79,1,0.231385,0.768615,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,80,0,0.266912,0.733088,0,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,81,1,0.226933,0.773067,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
41.62222,41.68333,-87.58889,-87.51111,VAR,82,1,0.23005,0.76995,1,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,0.7629
