lat1,lat2,lon1,lon2,target,day,actual_event,negative_event,positive_event,predictions,source,threshold
41.62222,41.68333,-87.58889,-87.51111,VAR,7,1,0.220571,0.779429,1,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,8,0,0.215971,0.784029,1,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,9,0,0.202677,0.797323,1,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,10,1,0.231672,0.768328,1,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,11,1,0.228895,0.771105,1,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,12,0,0.218591,0.781409,1,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,13,0,0.230999,0.769001,1,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,14,1,0.256265,0.743735,0,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,15,1,0.243586,0.756414,0,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,16,0,0.245217,0.754783,0,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,17,0,0.24633,0.75367,0,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,18,0,0.281716,0.718284,0,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,19,1,0.243916,0.756084,0,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,20,0,0.273271,0.726729,0,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,21,1,0.267057,0.732943,0,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,22,1,0.268724,0.731276,0,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,23,0,0.236214,0.763786,0,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,24,1,0.23143,0.76857,1,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,25,1,0.212906,0.787094,1,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,26,1,0.223222,0.776778,1,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,27,1,0.229578,0.770422,1,ALL,0.7656
41.62222,41.68333,-87.58889,-87.51111,VAR,28,1,0.23207,0.76793,1,ALL,0.7656
