lat1,lat2,lon1,lon2,target,day,actual_event,negative_event,positive_event,predictions,source,threshold
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,7,1,0.0139665,0.986034,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,8,1,0.00273226,0.997268,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,9,1,0.00461795,0.995382,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,10,1,0.00371833,0.996282,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,11,1,0.00896207,0.991038,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,12,1,0.0103334,0.989667,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,13,1,0.00846027,0.99154,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,14,1,0.00551899,0.994481,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,15,1,0.00901585,0.990984,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,16,1,0.00747268,0.992527,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,17,1,0.00394068,0.996059,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,18,1,0.00552136,0.994479,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,19,1,0.00996348,0.990037,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,20,1,0.00569064,0.994309,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,21,1,0.0126779,0.987322,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,22,1,0.00473367,0.995266,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,23,1,0.00665755,0.993342,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,24,1,0.00581223,0.994188,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,25,1,0.00101731,0.998983,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,26,1,0.00502538,0.994975,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,27,1,0.00452419,0.995476,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,28,1,0.00162944,0.998371,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,29,1,0.0028643,0.997136,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,30,1,0.00306124,0.996939,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,31,1,0.00521937,0.994781,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,32,1,0.00434605,0.995654,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,33,1,0.00646487,0.993535,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,34,1,0.0178172,0.982183,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,35,1,0.00573724,0.994263,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,36,1,0.00633373,0.993666,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,37,1,0.0133268,0.986673,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,38,1,0.00522551,0.994774,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,39,1,0.00591857,0.994081,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,40,1,0.00297393,0.997026,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,41,1,0.00578011,0.99422,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,42,1,0.00619343,0.993807,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,43,1,0.00668425,0.993316,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,44,1,0.00885416,0.991146,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,45,1,0.00601534,0.993985,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,46,1,0.0073257,0.992674,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,47,1,0.00411679,0.995883,1,HOMICIDE-ASSAULT-BATTERY,-1.0
41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,48,1,0.00491315,0.995087,1,HOMICIDE-ASSAULT-BATTERY,-1.0
