lat1,lat2,lon1,lon2,target,day,actual_event,negative_event,positive_event,predictions,source,threshold
41.74444,41.80556,-87.82222,-87.74444,VAR,8,1,0.0079653,0.992035,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,9,1,0.00737099,0.992629,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,10,1,0.00762997,0.99237,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,11,1,0.00528159,0.994718,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,12,1,0.0116242,0.988376,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,13,1,0.0122712,0.987729,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,14,1,0.00700547,0.992995,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,15,1,0.00465002,0.99535,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,16,1,0.011325,0.988675,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,17,1,0.00504298,0.994957,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,18,1,0.0090378,0.990962,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,19,1,0.00674182,0.993258,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,20,1,0.0117822,0.988218,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,21,1,0.0080021,0.991998,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,22,1,0.00586593,0.994134,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,23,1,0.00689811,0.993102,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,24,1,0.00965391,0.990346,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,25,1,0.00333084,0.996669,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,26,1,0.0143971,0.985603,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,27,1,0.00670932,0.993291,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,28,1,0.0101744,0.989826,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,29,1,0.00812485,0.991875,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,30,1,0.0076481,0.992352,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,31,1,0.00644483,0.993555,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,32,1,0.0119255,0.988075,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,33,1,0.00608838,0.993912,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,34,0,0.0123837,0.987616,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,35,1,0.00703178,0.992968,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,36,1,0.011726,0.988274,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,37,1,0.00532673,0.994673,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,38,1,0.0058913,0.994109,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,39,1,0.00743659,0.992563,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,40,1,0.00808047,0.99192,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,41,1,0.00666773,0.993332,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,42,1,0.00563218,0.994368,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,43,1,0.00675664,0.993243,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,44,1,0.00829338,0.991707,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,45,1,0.00616315,0.993837,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,46,1,0.00712348,0.992877,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,47,1,0.00736134,0.992639,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,48,1,0.00807318,0.991927,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,49,1,0.0120544,0.987946,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,50,1,0.010331,0.989669,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,51,1,0.00295775,0.997042,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,52,1,0.00464671,0.995353,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,53,1,0.00563945,0.994361,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,54,0,0.0149422,0.985058,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,55,1,0.00418434,0.995816,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,56,1,0.00770216,0.992298,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,57,1,0.00454606,0.995454,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,58,1,0.0112298,0.98877,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,59,1,0.00539418,0.994606,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,60,1,0.00856283,0.991437,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,61,1,0.00728872,0.992711,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,62,1,0.0138573,0.986143,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,63,1,0.00430205,0.995698,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,64,1,0.00773262,0.992267,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,65,1,0.00663862,0.993361,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,66,1,0.011133,0.988867,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,67,1,0.00429816,0.995702,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,68,1,0.0105251,0.989475,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,69,1,0.00330403,0.996696,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,70,1,0.00861583,0.991384,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,71,1,0.00540572,0.994594,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,72,1,0.00951787,0.990482,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,73,1,0.00733496,0.992665,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,74,1,0.0122112,0.987789,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,75,1,0.00496664,0.995033,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,76,1,0.00941333,0.990587,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,77,1,0.00673435,0.993266,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,78,1,0.0088697,0.99113,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,79,1,0.00640174,0.993598,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,80,1,0.00635406,0.993646,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,81,1,0.00912178,0.990878,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,82,1,0.00729136,0.992709,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,83,1,0.00604214,0.993958,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,84,1,0.00736652,0.992633,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,85,1,0.00709804,0.992902,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,86,1,0.00869935,0.991301,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,87,1,0.00732943,0.992671,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,88,1,0.00773647,0.992264,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,89,1,0.00527269,0.994727,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,90,1,0.0160537,0.983946,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,91,1,0.00884218,0.991158,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,92,1,0.0075408,0.992459,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,93,1,0.00303535,0.996965,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,94,1,0.00802946,0.991971,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,95,1,0.00893252,0.991067,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,96,1,0.00828234,0.991718,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,97,1,0.0037981,0.996202,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,98,1,0.00859875,0.991401,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,99,1,0.00505861,0.994941,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,100,1,0.00942389,0.990576,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,101,1,0.00661459,0.993385,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,102,1,0.0148172,0.985183,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,103,1,0.00250571,0.997494,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,104,1,0.00909542,0.990905,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,105,1,0.00532881,0.994671,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,106,0,0.0256837,0.974316,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,107,1,0.00522084,0.994779,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,108,1,0.00969339,0.990307,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,109,1,0.00733551,0.992664,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,110,1,0.00795456,0.992045,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,111,1,0.00458329,0.995417,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,112,1,0.00729956,0.9927,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,113,1,0.00713679,0.992863,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,114,1,0.0110283,0.988972,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,115,1,0.00798138,0.992019,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,116,1,0.0140209,0.985979,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,117,1,0.00456387,0.995436,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,118,1,0.00882393,0.991176,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,119,1,0.00714848,0.992852,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,120,1,0.00544196,0.994558,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,121,1,0.00592883,0.994071,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,122,1,0.00996178,0.990038,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,123,1,0.00658882,0.993411,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,124,1,0.0103936,0.989606,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,125,1,0.00419314,0.995807,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,126,1,0.0104211,0.989579,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,127,1,0.00495676,0.995043,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,128,1,0.00853598,0.991464,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,129,1,0.00924409,0.990756,1,VAR,-1.0
41.74444,41.80556,-87.82222,-87.74444,VAR,130,1,0.00651245,0.993488,1,VAR,-1.0
