lat1,lat2,lon1,lon2,target,day,actual_event,negative_event,positive_event,predictions,source,threshold
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,7,0,0.403478,0.596522,1,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,8,1,0.465374,0.534626,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,9,0,0.458286,0.541714,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,10,1,0.425655,0.574345,1,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,11,1,0.458112,0.541888,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,12,1,0.475649,0.524351,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,13,1,0.426311,0.573689,1,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,14,1,0.460271,0.539729,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,15,1,0.448825,0.551175,1,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,16,1,0.453497,0.546503,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,17,1,0.458343,0.541657,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,18,0,0.439263,0.560737,1,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,19,1,0.457635,0.542365,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,20,1,0.453703,0.546297,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,21,1,0.466027,0.533973,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,22,1,0.443552,0.556448,1,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,23,1,0.443063,0.556937,1,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,24,0,0.498952,0.501048,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,25,0,0.467616,0.532384,0,ALL,0.5488
41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,26,1,0.438182,0.561818,1,ALL,0.5488
