lat1,lat2,lon1,lon2,target,day,actual_event,negative_event,positive_event,predictions,source,threshold
41.62222,41.68333,-87.58889,-87.51111,VAR,7,1,0.220571,0.779429,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,8,0,0.215971,0.784029,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,9,0,0.219374,0.780626,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,10,1,0.251449,0.748551,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,11,1,0.229493,0.770507,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,12,0,0.227796,0.772204,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,13,0,0.253061,0.746939,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,14,1,0.254977,0.745023,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,15,1,0.242545,0.757455,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,16,0,0.247756,0.752244,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,17,0,0.251838,0.748162,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,18,0,0.275863,0.724137,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,19,1,0.257358,0.742642,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,20,0,0.288268,0.711732,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,21,1,0.256097,0.743903,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,22,1,0.240749,0.759251,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,23,0,0.239281,0.760719,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,24,1,0.223555,0.776445,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,25,1,0.229817,0.770183,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,26,1,0.216887,0.783113,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,27,1,0.229382,0.770618,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,28,1,0.214139,0.785861,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,29,1,0.231274,0.768726,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,30,1,0.234545,0.765455,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,31,1,0.247629,0.752371,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,32,0,0.275494,0.724506,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,33,1,0.25706,0.74294,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,34,1,0.209338,0.790662,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,35,1,0.209443,0.790557,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,36,0,0.235089,0.764911,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,37,0,0.273332,0.726668,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,38,1,0.231075,0.768925,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,39,1,0.243465,0.756535,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,40,0,0.250743,0.749257,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,41,1,0.22978,0.77022,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,42,1,0.22788,0.77212,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,43,1,0.247486,0.752514,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,44,1,0.231182,0.768818,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,45,0,0.249694,0.750306,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,46,0,0.241545,0.758455,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,47,1,0.235751,0.764249,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,48,1,0.213835,0.786165,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,49,0,0.239315,0.760685,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,50,0,0.23771,0.76229,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,51,1,0.244816,0.755184,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,52,1,0.205778,0.794222,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,53,1,0.23882,0.76118,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,54,1,0.241123,0.758877,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,55,1,0.242402,0.757598,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,56,0,0.247841,0.752159,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,57,0,0.224632,0.775368,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,58,0,0.22724,0.77276,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,59,0,0.234138,0.765862,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,60,1,0.23395,0.76605,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,61,1,0.235711,0.764289,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,62,1,0.227582,0.772418,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,63,1,0.240258,0.759742,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,64,0,0.259177,0.740823,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,65,1,0.255989,0.744011,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,66,1,0.235587,0.764413,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,67,1,0.238253,0.761747,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,68,1,0.232053,0.767947,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,69,1,0.231324,0.768676,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,70,1,0.21984,0.78016,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,71,1,0.23425,0.76575,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,72,1,0.247321,0.752679,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,73,0,0.243685,0.756315,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,74,0,0.261673,0.738327,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,75,0,0.269344,0.730656,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,76,1,0.23366,0.76634,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,77,0,0.258197,0.741803,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,78,0,0.212812,0.787188,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,79,1,0.229627,0.770373,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,80,0,0.250061,0.749939,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,81,1,0.241978,0.758022,0,HOMICIDE-ASSAULT-BATTERY,0.99
41.62222,41.68333,-87.58889,-87.51111,VAR,82,1,0.248331,0.751669,0,HOMICIDE-ASSAULT-BATTERY,0.99
