lat1,lat2,lon1,lon2,target,day,actual_event,negative_event,positive_event,predictions,source,threshold
41.92778,41.98889,-87.9,-87.82222,VAR,7,1,0.0765408,0.923459,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,8,1,0.0548573,0.945143,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,9,1,0.0652036,0.934796,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,10,1,0.067666,0.932334,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,11,1,0.0716564,0.928344,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,12,0,0.0786823,0.921318,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,13,1,0.0830594,0.916941,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,14,1,0.0821422,0.917858,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,15,1,0.0724343,0.927566,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,16,1,0.0680694,0.931931,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,17,1,0.0819334,0.918067,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,18,1,0.0763339,0.923666,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,19,1,0.0630174,0.936983,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,20,1,0.0691569,0.930843,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,21,1,0.0796961,0.920304,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,22,1,0.11729,0.88271,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,23,1,0.0737546,0.926245,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,24,1,0.0844199,0.91558,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,25,0,0.107228,0.892772,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,26,1,0.0844062,0.915594,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,27,1,0.0847552,0.915245,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,28,1,0.076213,0.923787,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,29,0,0.0988643,0.901136,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,30,0,0.115401,0.884599,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,31,1,0.081943,0.918057,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,32,1,0.0860892,0.913911,0,ALL,0.99
41.92778,41.98889,-87.9,-87.82222,VAR,33,1,0.0964205,0.90358,0,ALL,0.99
