target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.663793,0.336207,1,ALL,-1.0
close,2,0,0.643591,0.356409,1,ALL,-1.0
close,3,1,0.620842,0.379158,1,ALL,-1.0
close,4,1,0.69556,0.30444,1,ALL,-1.0
close,5,1,0.584062,0.415938,1,ALL,-1.0
close,6,1,0.679051,0.320949,1,ALL,-1.0
close,7,0,0.592664,0.407336,1,ALL,-1.0
close,8,0,0.647229,0.352771,1,ALL,-1.0
close,9,0,0.622241,0.377759,1,ALL,-1.0
close,10,1,0.60468,0.39532,1,ALL,-1.0
close,11,1,0.659773,0.340227,1,ALL,-1.0
close,12,0,0.644447,0.355553,1,ALL,-1.0
close,13,0,0.659212,0.340788,1,ALL,-1.0
close,14,1,0.606628,0.393372,1,ALL,-1.0
close,15,1,0.599683,0.400317,1,ALL,-1.0
close,16,1,0.667105,0.332895,1,ALL,-1.0
close,17,1,0.603162,0.396838,1,ALL,-1.0
close,18,0,0.631984,0.368016,1,ALL,-1.0
close,19,0,0.62194,0.37806,1,ALL,-1.0
close,20,0,0.655254,0.344746,1,ALL,-1.0
close,21,1,0.619417,0.380583,1,ALL,-1.0
close,22,0,0.646044,0.353956,1,ALL,-1.0
close,23,0,0.656235,0.343765,1,ALL,-1.0
close,24,0,0.617466,0.382534,1,ALL,-1.0
close,25,0,0.639544,0.360456,1,ALL,-1.0
close,26,1,0.646966,0.353034,1,ALL,-1.0
close,27,1,0.636108,0.363892,1,ALL,-1.0
close,28,1,0.647778,0.352222,1,ALL,-1.0
close,29,0,0.65838,0.34162,1,ALL,-1.0
close,30,0,0.672972,0.327028,1,ALL,-1.0
close,31,0,0.651231,0.348769,1,ALL,-1.0
close,32,0,0.643106,0.356894,1,ALL,-1.0
close,33,0,0.662936,0.337064,1,ALL,-1.0
close,34,1,0.604033,0.395967,1,ALL,-1.0
close,35,1,0.662834,0.337166,1,ALL,-1.0
close,36,0,0.666877,0.333123,1,ALL,-1.0
close,37,0,0.678667,0.321333,1,ALL,-1.0
close,38,0,0.636282,0.363718,1,ALL,-1.0
close,39,0,0.633437,0.366563,1,ALL,-1.0
close,40,1,0.654535,0.345465,1,ALL,-1.0
close,41,1,0.621379,0.378621,1,ALL,-1.0
close,42,1,0.641961,0.358039,1,ALL,-1.0
close,43,0,0.665164,0.334836,1,ALL,-1.0
close,44,1,0.650071,0.349929,1,ALL,-1.0
close,45,1,0.632709,0.367291,1,ALL,-1.0
close,46,0,0.649452,0.350548,1,ALL,-1.0
close,47,1,0.659103,0.340897,1,ALL,-1.0
close,48,1,0.623099,0.376901,1,ALL,-1.0
close,49,1,0.636051,0.363949,1,ALL,-1.0
close,50,1,0.648029,0.351971,1,ALL,-1.0
close,51,0,0.670084,0.329916,1,ALL,-1.0
close,52,1,0.625336,0.374664,1,ALL,-1.0
close,53,0,0.64851,0.35149,1,ALL,-1.0
close,54,0,0.652688,0.347312,1,ALL,-1.0
close,55,0,0.646864,0.353136,1,ALL,-1.0
close,56,1,0.605983,0.394017,1,ALL,-1.0
close,57,1,0.642503,0.357497,1,ALL,-1.0
close,58,0,0.640712,0.359288,1,ALL,-1.0
close,59,1,0.632601,0.367399,1,ALL,-1.0
