target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.0,0.0,1,amount,-1.0
close,2,0,0.690071,0.309929,1,amount,-1.0
close,3,1,0.576421,0.423579,1,amount,-1.0
close,4,1,0.635845,0.364155,1,amount,-1.0
close,5,1,0.613598,0.386402,1,amount,-1.0
close,6,1,0.651182,0.348818,1,amount,-1.0
close,7,0,0.675567,0.324433,1,amount,-1.0
close,8,0,0.635063,0.364937,1,amount,-1.0
close,9,0,0.65057,0.34943,1,amount,-1.0
close,10,1,0.68566,0.31434,1,amount,-1.0
close,11,1,0.6244,0.3756,1,amount,-1.0
close,12,0,0.67519,0.32481,1,amount,-1.0
close,13,0,0.681485,0.318515,1,amount,-1.0
close,14,1,0.660487,0.339513,1,amount,-1.0
close,15,1,0.649484,0.350516,1,amount,-1.0
close,16,1,0.642618,0.357382,1,amount,-1.0
close,17,1,0.629762,0.370238,1,amount,-1.0
close,18,0,0.657523,0.342477,1,amount,-1.0
close,19,0,0.674572,0.325428,1,amount,-1.0
close,20,0,0.65061,0.34939,1,amount,-1.0
close,21,1,0.649142,0.350858,1,amount,-1.0
close,22,0,0.645697,0.354303,1,amount,-1.0
close,23,0,0.669287,0.330713,1,amount,-1.0
close,24,0,0.627643,0.372357,1,amount,-1.0
close,25,0,0.676264,0.323736,1,amount,-1.0
close,26,1,0.676778,0.323222,1,amount,-1.0
close,27,1,0.647241,0.352759,1,amount,-1.0
close,28,1,0.656055,0.343945,1,amount,-1.0
close,29,0,0.664297,0.335703,1,amount,-1.0
close,30,0,0.668519,0.331481,1,amount,-1.0
close,31,0,0.653024,0.346976,1,amount,-1.0
close,32,0,0.676446,0.323554,1,amount,-1.0
close,33,0,0.663884,0.336116,1,amount,-1.0
close,34,1,0.651128,0.348872,1,amount,-1.0
close,35,1,0.683583,0.316417,1,amount,-1.0
close,36,0,0.664321,0.335679,1,amount,-1.0
close,37,0,0.642831,0.357169,1,amount,-1.0
close,38,0,0.617943,0.382057,1,amount,-1.0
close,39,0,0.680575,0.319425,1,amount,-1.0
close,40,1,0.652249,0.347751,1,amount,-1.0
close,41,1,0.675295,0.324705,1,amount,-1.0
close,42,1,0.656993,0.343007,1,amount,-1.0
close,43,0,0.673974,0.326026,1,amount,-1.0
close,44,1,0.638399,0.361601,1,amount,-1.0
close,45,1,0.665915,0.334085,1,amount,-1.0
close,46,0,0.651314,0.348686,1,amount,-1.0
close,47,1,0.660513,0.339487,1,amount,-1.0
close,48,1,0.665433,0.334567,1,amount,-1.0
close,49,1,0.660811,0.339189,1,amount,-1.0
close,50,1,0.7012,0.2988,1,amount,-1.0
close,51,0,0.698376,0.301624,1,amount,-1.0
close,52,1,0.64476,0.35524,1,amount,-1.0
close,53,0,0.654117,0.345883,1,amount,-1.0
close,54,0,0.668518,0.331482,1,amount,-1.0
close,55,0,0.664166,0.335834,1,amount,-1.0
close,56,1,0.646418,0.353582,1,amount,-1.0
close,57,1,0.660115,0.339885,1,amount,-1.0
close,58,0,0.668272,0.331728,1,amount,-1.0
close,59,1,0.657793,0.342207,1,amount,-1.0
close,60,0,0.658739,0.341261,1,amount,-1.0
close,61,0,0.667482,0.332518,1,amount,-1.0
close,62,0,0.717468,0.282532,1,amount,-1.0
close,63,1,0.58452,0.41548,1,amount,-1.0
close,64,1,0.623573,0.376427,1,amount,-1.0
close,65,0,0.66312,0.33688,1,amount,-1.0
close,66,0,0.690872,0.309128,1,amount,-1.0
close,67,1,0.64289,0.35711,1,amount,-1.0
close,68,1,0.631593,0.368407,1,amount,-1.0
close,69,0,0.70393,0.29607,1,amount,-1.0
close,70,1,0.640223,0.359777,1,amount,-1.0
close,71,1,0.649379,0.350621,1,amount,-1.0
close,72,1,0.656479,0.343521,1,amount,-1.0
close,73,0,0.675548,0.324452,1,amount,-1.0
close,74,0,0.686118,0.313882,1,amount,-1.0
close,75,0,0.658925,0.341075,1,amount,-1.0
close,76,1,0.657913,0.342087,1,amount,-1.0
close,77,0,0.660734,0.339266,1,amount,-1.0
close,78,1,0.662851,0.337149,1,amount,-1.0
close,79,0,0.655914,0.344086,1,amount,-1.0
close,80,1,0.636785,0.363215,1,amount,-1.0
close,81,1,0.621248,0.378752,1,amount,-1.0
close,82,1,0.688269,0.311731,1,amount,-1.0
close,83,1,0.638275,0.361725,1,amount,-1.0
close,84,1,0.628088,0.371912,1,amount,-1.0
close,85,0,0.663166,0.336834,1,amount,-1.0
