target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.660413,0.339587,1,close,-1.0
close,2,0,0.631615,0.368385,1,close,-1.0
close,3,1,0.657859,0.342141,1,close,-1.0
close,4,1,0.672804,0.327196,1,close,-1.0
close,5,1,0.63764,0.36236,1,close,-1.0
close,6,1,0.616222,0.383778,1,close,-1.0
close,7,0,0.648896,0.351104,1,close,-1.0
close,8,0,0.665054,0.334946,1,close,-1.0
close,9,0,0.683363,0.316637,1,close,-1.0
close,10,1,0.650494,0.349506,1,close,-1.0
close,11,1,0.671181,0.328819,1,close,-1.0
close,12,0,0.655932,0.344068,1,close,-1.0
close,13,0,0.641028,0.358972,1,close,-1.0
close,14,1,0.542393,0.457607,1,close,-1.0
close,15,1,0.552211,0.447789,1,close,-1.0
close,16,1,0.68285,0.31715,1,close,-1.0
close,17,1,0.593932,0.406068,1,close,-1.0
close,18,0,0.639488,0.360512,1,close,-1.0
close,19,0,0.606525,0.393475,1,close,-1.0
close,20,0,0.744688,0.255312,1,close,-1.0
close,21,1,0.612831,0.387169,1,close,-1.0
close,22,0,0.645584,0.354416,1,close,-1.0
close,23,0,0.625683,0.374317,1,close,-1.0
close,24,0,0.571894,0.428106,1,close,-1.0
close,25,0,0.631882,0.368118,1,close,-1.0
close,26,1,0.604965,0.395035,1,close,-1.0
close,27,1,0.620997,0.379003,1,close,-1.0
close,28,1,0.679853,0.320147,1,close,-1.0
close,29,0,0.67557,0.32443,1,close,-1.0
close,30,0,0.650224,0.349776,1,close,-1.0
close,31,0,0.549878,0.450122,1,close,-1.0
close,32,0,0.633869,0.366131,1,close,-1.0
close,33,0,0.660729,0.339271,1,close,-1.0
close,34,1,0.664838,0.335162,1,close,-1.0
close,35,1,0.68897,0.31103,1,close,-1.0
close,36,0,0.690505,0.309495,1,close,-1.0
close,37,0,0.652293,0.347707,1,close,-1.0
close,38,0,0.603926,0.396074,1,close,-1.0
close,39,0,0.644322,0.355678,1,close,-1.0
close,40,1,0.658016,0.341984,1,close,-1.0
close,41,1,0.639206,0.360794,1,close,-1.0
close,42,1,0.632125,0.367875,1,close,-1.0
close,43,0,0.668378,0.331622,1,close,-1.0
close,44,1,0.614683,0.385317,1,close,-1.0
close,45,1,0.619134,0.380866,1,close,-1.0
close,46,0,0.626097,0.373903,1,close,-1.0
close,47,1,0.670201,0.329799,1,close,-1.0
close,48,1,0.660204,0.339796,1,close,-1.0
close,49,1,0.640704,0.359296,1,close,-1.0
close,50,1,0.59727,0.40273,1,close,-1.0
close,51,0,0.641652,0.358348,1,close,-1.0
close,52,1,0.630272,0.369728,1,close,-1.0
close,53,0,0.677983,0.322017,1,close,-1.0
close,54,0,0.710764,0.289236,1,close,-1.0
close,55,0,0.604943,0.395057,1,close,-1.0
close,56,1,0.630389,0.369611,1,close,-1.0
close,57,1,0.645622,0.354378,1,close,-1.0
close,58,0,0.628977,0.371023,1,close,-1.0
close,59,1,0.556084,0.443916,1,close,-1.0
close,60,0,0.695509,0.304491,1,close,-1.0
close,61,0,0.634325,0.365675,1,close,-1.0
close,62,0,0.692102,0.307898,1,close,-1.0
close,63,1,0.619906,0.380094,1,close,-1.0
close,64,1,0.638964,0.361036,1,close,-1.0
close,65,0,0.635659,0.364341,1,close,-1.0
close,66,0,0.670412,0.329588,1,close,-1.0
close,67,1,0.625996,0.374004,1,close,-1.0
close,68,1,0.630992,0.369008,1,close,-1.0
close,69,0,0.651528,0.348472,1,close,-1.0
close,70,1,0.664264,0.335736,1,close,-1.0
close,71,1,0.619425,0.380575,1,close,-1.0
close,72,1,0.656605,0.343395,1,close,-1.0
close,73,0,0.684604,0.315396,1,close,-1.0
close,74,0,0.612988,0.387012,1,close,-1.0
close,75,0,0.670726,0.329274,1,close,-1.0
close,76,1,0.646208,0.353792,1,close,-1.0
close,77,0,0.654369,0.345631,1,close,-1.0
close,78,1,0.618945,0.381055,1,close,-1.0
close,79,0,0.683578,0.316422,1,close,-1.0
close,80,1,0.649578,0.350422,1,close,-1.0
close,81,1,0.633951,0.366049,1,close,-1.0
close,82,1,0.625493,0.374507,1,close,-1.0
close,83,1,0.644027,0.355973,1,close,-1.0
close,84,1,0.644151,0.355849,1,close,-1.0
close,85,0,0.665041,0.334959,1,close,-1.0
close,86,0,0.677778,0.322222,1,close,-1.0
close,87,1,0.648471,0.351529,1,close,-1.0
close,88,1,0.639492,0.360508,1,close,-1.0
close,89,1,0.659072,0.340928,1,close,-1.0
close,90,1,0.633015,0.366985,1,close,-1.0
close,91,1,0.60083,0.39917,1,close,-1.0
close,92,0,0.680151,0.319849,1,close,-1.0
close,93,0,0.651185,0.348815,1,close,-1.0
close,94,1,0.641534,0.358466,1,close,-1.0
close,95,0,0.63958,0.36042,1,close,-1.0
close,96,0,0.683872,0.316128,1,close,-1.0
close,97,1,0.610988,0.389012,1,close,-1.0
close,98,1,0.651348,0.348652,1,close,-1.0
close,99,1,0.644828,0.355172,1,close,-1.0
close,100,0,0.64613,0.35387,1,close,-1.0
close,101,1,0.591618,0.408382,1,close,-1.0
close,102,0,0.656241,0.343759,1,close,-1.0
close,103,0,0.658157,0.341843,1,close,-1.0
close,104,0,0.669631,0.330369,1,close,-1.0
close,105,1,0.636198,0.363802,1,close,-1.0
close,106,0,0.67784,0.32216,1,close,-1.0
close,107,0,0.668672,0.331328,1,close,-1.0
close,108,0,0.639505,0.360495,1,close,-1.0
close,109,0,0.669291,0.330709,1,close,-1.0
close,110,1,0.651389,0.348611,1,close,-1.0
close,111,0,0.643609,0.356391,1,close,-1.0
close,112,0,0.63518,0.36482,1,close,-1.0
close,113,1,0.654073,0.345927,1,close,-1.0
close,114,1,0.651914,0.348086,1,close,-1.0
close,115,0,0.691418,0.308582,1,close,-1.0
close,116,0,0.679014,0.320986,1,close,-1.0
close,117,1,0.639047,0.360953,1,close,-1.0
close,118,1,0.601444,0.398556,1,close,-1.0
close,119,1,0.631859,0.368141,1,close,-1.0
close,120,0,0.655114,0.344886,1,close,-1.0
