target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.649481,0.350519,1,high,-1.0
close,2,0,0.656164,0.343836,1,high,-1.0
close,3,1,0.645499,0.354501,1,high,-1.0
close,4,1,0.650525,0.349475,1,high,-1.0
close,5,1,0.711811,0.288189,1,high,-1.0
close,6,1,0.618628,0.381372,1,high,-1.0
close,7,0,0.592236,0.407764,1,high,-1.0
close,8,0,0.64606,0.35394,1,high,-1.0
close,9,0,0.65788,0.34212,1,high,-1.0
close,10,1,0.641385,0.358615,1,high,-1.0
close,11,1,0.673207,0.326793,1,high,-1.0
close,12,0,0.684906,0.315094,1,high,-1.0
close,13,0,0.65896,0.34104,1,high,-1.0
close,14,1,0.645454,0.354546,1,high,-1.0
close,15,1,0.627204,0.372796,1,high,-1.0
close,16,1,0.677585,0.322415,1,high,-1.0
close,17,1,0.632153,0.367847,1,high,-1.0
close,18,0,0.663372,0.336628,1,high,-1.0
close,19,0,0.690247,0.309753,1,high,-1.0
close,20,0,0.67327,0.32673,1,high,-1.0
close,21,1,0.623721,0.376279,1,high,-1.0
close,22,0,0.619207,0.380793,1,high,-1.0
close,23,0,0.708117,0.291883,1,high,-1.0
close,24,0,0.624451,0.375549,1,high,-1.0
close,25,0,0.680619,0.319381,1,high,-1.0
close,26,1,0.673632,0.326368,1,high,-1.0
close,27,1,0.632885,0.367115,1,high,-1.0
close,28,1,0.641155,0.358845,1,high,-1.0
close,29,0,0.643881,0.356119,1,high,-1.0
close,30,0,0.608861,0.391139,1,high,-1.0
close,31,0,0.691832,0.308168,1,high,-1.0
close,32,0,0.636091,0.363909,1,high,-1.0
close,33,0,0.705921,0.294079,1,high,-1.0
close,34,1,0.628171,0.371829,1,high,-1.0
close,35,1,0.579927,0.420073,1,high,-1.0
close,36,0,0.676459,0.323541,1,high,-1.0
close,37,0,0.661535,0.338465,1,high,-1.0
close,38,0,0.65842,0.34158,1,high,-1.0
close,39,0,0.667861,0.332139,1,high,-1.0
close,40,1,0.645476,0.354524,1,high,-1.0
close,41,1,0.668298,0.331702,1,high,-1.0
close,42,1,0.642919,0.357081,1,high,-1.0
close,43,0,0.698005,0.301995,1,high,-1.0
close,44,1,0.65906,0.34094,1,high,-1.0
close,45,1,0.655639,0.344361,1,high,-1.0
close,46,0,0.643381,0.356619,1,high,-1.0
close,47,1,0.653969,0.346031,1,high,-1.0
close,48,1,0.629766,0.370234,1,high,-1.0
close,49,1,0.660821,0.339179,1,high,-1.0
close,50,1,0.622421,0.377579,1,high,-1.0
close,51,0,0.677844,0.322156,1,high,-1.0
close,52,1,0.637646,0.362354,1,high,-1.0
close,53,0,0.629711,0.370289,1,high,-1.0
close,54,0,0.61171,0.38829,1,high,-1.0
close,55,0,0.649312,0.350688,1,high,-1.0
close,56,1,0.64073,0.35927,1,high,-1.0
close,57,1,0.651112,0.348888,1,high,-1.0
close,58,0,0.625002,0.374998,1,high,-1.0
close,59,1,0.652204,0.347796,1,high,-1.0
close,60,0,0.659437,0.340563,1,high,-1.0
close,61,0,0.680722,0.319278,1,high,-1.0
close,62,0,0.654496,0.345504,1,high,-1.0
close,63,1,0.639041,0.360959,1,high,-1.0
close,64,1,0.599618,0.400382,1,high,-1.0
close,65,0,0.673069,0.326931,1,high,-1.0
close,66,0,0.66235,0.33765,1,high,-1.0
close,67,1,0.599015,0.400985,1,high,-1.0
close,68,1,0.663998,0.336002,1,high,-1.0
close,69,0,0.649605,0.350395,1,high,-1.0
close,70,1,0.600062,0.399938,1,high,-1.0
close,71,1,0.669654,0.330346,1,high,-1.0
close,72,1,0.603464,0.396536,1,high,-1.0
close,73,0,0.698748,0.301252,1,high,-1.0
close,74,0,0.661332,0.338668,1,high,-1.0
close,75,0,0.651961,0.348039,1,high,-1.0
close,76,1,0.643079,0.356921,1,high,-1.0
close,77,0,0.654016,0.345984,1,high,-1.0
close,78,1,0.655499,0.344501,1,high,-1.0
close,79,0,0.624672,0.375328,1,high,-1.0
close,80,1,0.62202,0.37798,1,high,-1.0
close,81,1,0.653282,0.346718,1,high,-1.0
close,82,1,0.6214,0.3786,1,high,-1.0
close,83,1,0.608647,0.391353,1,high,-1.0
close,84,1,0.626964,0.373036,1,high,-1.0
close,85,0,0.675314,0.324686,1,high,-1.0
close,86,0,0.609565,0.390435,1,high,-1.0
close,87,1,0.638403,0.361597,1,high,-1.0
close,88,1,0.646484,0.353516,1,high,-1.0
close,89,1,0.622848,0.377152,1,high,-1.0
close,90,1,0.618141,0.381859,1,high,-1.0
close,91,1,0.57577,0.42423,1,high,-1.0
close,92,0,0.654206,0.345794,1,high,-1.0
close,93,0,0.696295,0.303705,1,high,-1.0
close,94,1,0.568534,0.431466,1,high,-1.0
close,95,0,0.662133,0.337867,1,high,-1.0
close,96,0,0.665684,0.334316,1,high,-1.0
close,97,1,0.635772,0.364228,1,high,-1.0
close,98,1,0.627281,0.372719,1,high,-1.0
close,99,1,0.640936,0.359064,1,high,-1.0
close,100,0,0.616106,0.383894,1,high,-1.0
close,101,1,0.579893,0.420107,1,high,-1.0
close,102,0,0.659532,0.340468,1,high,-1.0
close,103,0,0.680714,0.319286,1,high,-1.0
close,104,0,0.659083,0.340917,1,high,-1.0
close,105,1,0.651134,0.348866,1,high,-1.0
close,106,0,0.664819,0.335181,1,high,-1.0
