target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.607638,0.392362,0,low,0.99
close,2,0,0.615317,0.384683,0,low,0.99
close,3,1,0.655984,0.344016,0,low,0.99
close,4,1,0.658731,0.341269,0,low,0.99
close,5,1,0.678852,0.321148,0,low,0.99
close,6,1,0.621823,0.378177,0,low,0.99
close,7,0,0.606001,0.393999,0,low,0.99
close,8,0,0.632975,0.367025,0,low,0.99
close,9,0,0.630766,0.369234,0,low,0.99
close,10,1,0.604788,0.395212,0,low,0.99
close,11,1,0.626601,0.373399,0,low,0.99
close,12,0,0.683698,0.316302,0,low,0.99
close,13,0,0.651838,0.348162,0,low,0.99
close,14,1,0.651662,0.348338,0,low,0.99
close,15,1,0.64543,0.35457,0,low,0.99
close,16,1,0.597012,0.402988,0,low,0.99
close,17,1,0.618141,0.381859,0,low,0.99
close,18,0,0.601722,0.398278,0,low,0.99
close,19,0,0.613268,0.386732,0,low,0.99
close,20,0,0.632362,0.367638,0,low,0.99
close,21,1,0.633887,0.366113,0,low,0.99
close,22,0,0.670196,0.329804,0,low,0.99
close,23,0,0.662969,0.337031,0,low,0.99
close,24,0,0.680075,0.319925,0,low,0.99
close,25,0,0.644027,0.355973,0,low,0.99
close,26,1,0.653534,0.346466,0,low,0.99
close,27,1,0.658772,0.341228,0,low,0.99
close,28,1,0.660586,0.339414,0,low,0.99
close,29,0,0.645811,0.354189,0,low,0.99
close,30,0,0.698515,0.301485,0,low,0.99
close,31,0,0.686585,0.313415,0,low,0.99
close,32,0,0.608137,0.391863,0,low,0.99
close,33,0,0.670718,0.329282,0,low,0.99
close,34,1,0.609954,0.390046,0,low,0.99
close,35,1,0.656568,0.343432,0,low,0.99
close,36,0,0.698757,0.301243,0,low,0.99
close,37,0,0.668129,0.331871,0,low,0.99
close,38,0,0.683747,0.316253,0,low,0.99
close,39,0,0.611111,0.388889,0,low,0.99
close,40,1,0.624983,0.375017,0,low,0.99
close,41,1,0.598796,0.401204,0,low,0.99
close,42,1,0.663377,0.336623,0,low,0.99
close,43,0,0.641615,0.358385,0,low,0.99
close,44,1,0.67049,0.32951,0,low,0.99
close,45,1,0.60736,0.39264,0,low,0.99
close,46,0,0.666478,0.333522,0,low,0.99
close,47,1,0.667546,0.332454,0,low,0.99
close,48,1,0.62832,0.37168,0,low,0.99
close,49,1,0.642407,0.357593,0,low,0.99
close,50,1,0.645958,0.354042,0,low,0.99
close,51,0,0.627802,0.372198,0,low,0.99
close,52,1,0.608125,0.391875,0,low,0.99
close,53,0,0.653072,0.346928,0,low,0.99
