target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.0,0.0,1,open,-1.0
close,2,0,0.639987,0.360013,1,open,-1.0
close,3,1,0.637397,0.362603,1,open,-1.0
close,4,1,0.678268,0.321732,1,open,-1.0
close,5,1,0.651059,0.348941,1,open,-1.0
close,6,1,0.678175,0.321825,1,open,-1.0
close,7,0,0.65715,0.34285,1,open,-1.0
close,8,0,0.646889,0.353111,1,open,-1.0
close,9,0,0.64918,0.35082,1,open,-1.0
close,10,1,0.619667,0.380333,1,open,-1.0
close,11,1,0.623702,0.376298,1,open,-1.0
close,12,0,0.652622,0.347378,1,open,-1.0
close,13,0,0.650944,0.349056,1,open,-1.0
close,14,1,0.615818,0.384182,1,open,-1.0
close,15,1,0.659079,0.340921,1,open,-1.0
close,16,1,0.66135,0.33865,1,open,-1.0
close,17,1,0.577305,0.422695,1,open,-1.0
close,18,0,0.598546,0.401454,1,open,-1.0
close,19,0,0.61158,0.38842,1,open,-1.0
close,20,0,0.674093,0.325907,1,open,-1.0
close,21,1,0.573099,0.426901,1,open,-1.0
close,22,0,0.621448,0.378552,1,open,-1.0
close,23,0,0.65739,0.34261,1,open,-1.0
close,24,0,0.628309,0.371691,1,open,-1.0
close,25,0,0.658007,0.341993,1,open,-1.0
close,26,1,0.644767,0.355233,1,open,-1.0
close,27,1,0.643648,0.356352,1,open,-1.0
close,28,1,0.597104,0.402896,1,open,-1.0
close,29,0,0.612366,0.387634,1,open,-1.0
close,30,0,0.68929,0.31071,1,open,-1.0
close,31,0,0.625944,0.374056,1,open,-1.0
close,32,0,0.667142,0.332858,1,open,-1.0
close,33,0,0.617139,0.382861,1,open,-1.0
close,34,1,0.557923,0.442077,1,open,-1.0
close,35,1,0.592387,0.407613,1,open,-1.0
close,36,0,0.665881,0.334119,1,open,-1.0
close,37,0,0.653492,0.346508,1,open,-1.0
close,38,0,0.661235,0.338765,1,open,-1.0
close,39,0,0.652398,0.347602,1,open,-1.0
close,40,1,0.649025,0.350975,1,open,-1.0
close,41,1,0.613991,0.386009,1,open,-1.0
close,42,1,0.617962,0.382038,1,open,-1.0
close,43,0,0.64058,0.35942,1,open,-1.0
close,44,1,0.677359,0.322641,1,open,-1.0
close,45,1,0.620971,0.379029,1,open,-1.0
close,46,0,0.654229,0.345771,1,open,-1.0
close,47,1,0.626439,0.373561,1,open,-1.0
close,48,1,0.598046,0.401954,1,open,-1.0
