target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.669003,0.330997,1,pbMRQ,-1.0
close,2,0,0.641154,0.358846,1,pbMRQ,-1.0
close,3,1,0.599764,0.400236,1,pbMRQ,-1.0
close,4,1,0.731842,0.268158,1,pbMRQ,-1.0
close,5,1,0.450067,0.549933,1,pbMRQ,-1.0
close,6,1,0.731175,0.268825,1,pbMRQ,-1.0
close,7,0,0.534763,0.465237,1,pbMRQ,-1.0
close,8,0,0.658124,0.341876,1,pbMRQ,-1.0
close,9,0,0.569068,0.430932,1,pbMRQ,-1.0
close,10,1,0.572915,0.427085,1,pbMRQ,-1.0
close,11,1,0.677775,0.322225,1,pbMRQ,-1.0
close,12,0,0.577361,0.422639,1,pbMRQ,-1.0
close,13,0,0.688048,0.311952,1,pbMRQ,-1.0
close,14,1,0.547171,0.452829,1,pbMRQ,-1.0
close,15,1,0.512441,0.487559,1,pbMRQ,-1.0
close,16,1,0.69374,0.30626,1,pbMRQ,-1.0
close,17,1,0.549887,0.450113,1,pbMRQ,-1.0
close,18,0,0.620236,0.379764,1,pbMRQ,-1.0
close,19,0,0.54555,0.45445,1,pbMRQ,-1.0
close,20,0,0.636071,0.363929,1,pbMRQ,-1.0
close,21,1,0.625644,0.374356,1,pbMRQ,-1.0
close,22,0,0.61572,0.38428,1,pbMRQ,-1.0
close,23,0,0.628083,0.371917,1,pbMRQ,-1.0
close,24,0,0.568289,0.431711,1,pbMRQ,-1.0
close,25,0,0.583989,0.416011,1,pbMRQ,-1.0
close,26,1,0.694493,0.305507,1,pbMRQ,-1.0
close,27,1,0.579917,0.420083,1,pbMRQ,-1.0
close,28,1,0.704864,0.295136,1,pbMRQ,-1.0
close,29,0,0.687724,0.312276,1,pbMRQ,-1.0
close,30,0,0.704081,0.295919,1,pbMRQ,-1.0
close,31,0,0.70541,0.29459,1,pbMRQ,-1.0
close,32,0,0.598829,0.401171,1,pbMRQ,-1.0
close,33,0,0.695002,0.304998,1,pbMRQ,-1.0
close,34,1,0.606372,0.393628,1,pbMRQ,-1.0
close,35,1,0.700345,0.299655,1,pbMRQ,-1.0
close,36,0,0.599459,0.400541,1,pbMRQ,-1.0
close,37,0,0.740487,0.259513,1,pbMRQ,-1.0
close,38,0,0.564427,0.435573,1,pbMRQ,-1.0
close,39,0,0.544315,0.455685,1,pbMRQ,-1.0
close,40,1,0.685364,0.314636,1,pbMRQ,-1.0
close,41,1,0.596891,0.403109,1,pbMRQ,-1.0
close,42,1,0.694628,0.305372,1,pbMRQ,-1.0
close,43,0,0.68715,0.31285,1,pbMRQ,-1.0
close,44,1,0.681289,0.318711,1,pbMRQ,-1.0
close,45,1,0.692144,0.307856,1,pbMRQ,-1.0
close,46,0,0.605347,0.394653,1,pbMRQ,-1.0
close,47,1,0.693454,0.306546,1,pbMRQ,-1.0
close,48,1,0.551425,0.448575,1,pbMRQ,-1.0
close,49,1,0.548671,0.451329,1,pbMRQ,-1.0
close,50,1,0.69853,0.30147,1,pbMRQ,-1.0
close,51,0,0.638843,0.361157,1,pbMRQ,-1.0
close,52,1,0.599033,0.400967,1,pbMRQ,-1.0
close,53,0,0.637443,0.362557,1,pbMRQ,-1.0
close,54,0,0.643423,0.356577,1,pbMRQ,-1.0
close,55,0,0.605074,0.394926,1,pbMRQ,-1.0
close,56,1,0.610156,0.389844,1,pbMRQ,-1.0
close,57,1,0.643385,0.356615,1,pbMRQ,-1.0
close,58,0,0.581217,0.418783,1,pbMRQ,-1.0
close,59,1,0.671251,0.328749,1,pbMRQ,-1.0
close,60,0,0.588307,0.411693,1,pbMRQ,-1.0
close,61,0,0.599927,0.400073,1,pbMRQ,-1.0
close,62,0,0.669562,0.330438,1,pbMRQ,-1.0
close,63,1,0.598428,0.401572,1,pbMRQ,-1.0
close,64,1,0.60953,0.39047,1,pbMRQ,-1.0
close,65,0,0.674967,0.325033,1,pbMRQ,-1.0
