target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.650209,0.349791,1,pctCh,-1.0
close,2,0,0.661293,0.338707,1,pctCh,-1.0
close,3,1,0.622174,0.377826,1,pctCh,-1.0
close,4,1,0.639474,0.360526,1,pctCh,-1.0
close,5,1,0.6629,0.3371,1,pctCh,-1.0
close,6,1,0.668052,0.331948,1,pctCh,-1.0
close,7,0,0.639846,0.360154,1,pctCh,-1.0
close,8,0,0.677295,0.322705,1,pctCh,-1.0
close,9,0,0.680921,0.319079,1,pctCh,-1.0
close,10,1,0.688561,0.311439,1,pctCh,-1.0
close,11,1,0.615834,0.384166,1,pctCh,-1.0
close,12,0,0.645622,0.354378,1,pctCh,-1.0
close,13,0,0.638489,0.361511,1,pctCh,-1.0
close,14,1,0.654146,0.345854,1,pctCh,-1.0
close,15,1,0.653758,0.346242,1,pctCh,-1.0
close,16,1,0.680668,0.319332,1,pctCh,-1.0
close,17,1,0.658953,0.341047,1,pctCh,-1.0
close,18,0,0.649354,0.350646,1,pctCh,-1.0
close,19,0,0.647451,0.352549,1,pctCh,-1.0
close,20,0,0.644173,0.355827,1,pctCh,-1.0
close,21,1,0.650229,0.349771,1,pctCh,-1.0
close,22,0,0.711096,0.288904,1,pctCh,-1.0
close,23,0,0.67051,0.32949,1,pctCh,-1.0
close,24,0,0.609283,0.390717,1,pctCh,-1.0
close,25,0,0.629467,0.370533,1,pctCh,-1.0
close,26,1,0.624288,0.375712,1,pctCh,-1.0
close,27,1,0.679407,0.320593,1,pctCh,-1.0
close,28,1,0.693695,0.306305,1,pctCh,-1.0
close,29,0,0.63392,0.36608,1,pctCh,-1.0
close,30,0,0.664573,0.335427,1,pctCh,-1.0
close,31,0,0.665705,0.334295,1,pctCh,-1.0
close,32,0,0.705006,0.294994,1,pctCh,-1.0
close,33,0,0.649972,0.350028,1,pctCh,-1.0
close,34,1,0.577055,0.422945,1,pctCh,-1.0
close,35,1,0.664317,0.335683,1,pctCh,-1.0
close,36,0,0.680256,0.319744,1,pctCh,-1.0
close,37,0,0.664619,0.335381,1,pctCh,-1.0
close,38,0,0.675599,0.324401,1,pctCh,-1.0
close,39,0,0.670593,0.329407,1,pctCh,-1.0
close,40,1,0.626138,0.373862,1,pctCh,-1.0
close,41,1,0.645208,0.354792,1,pctCh,-1.0
close,42,1,0.663233,0.336767,1,pctCh,-1.0
close,43,0,0.653676,0.346324,1,pctCh,-1.0
close,44,1,0.612735,0.387265,1,pctCh,-1.0
close,45,1,0.652007,0.347993,1,pctCh,-1.0
close,46,0,0.670632,0.329368,1,pctCh,-1.0
close,47,1,0.650223,0.349777,1,pctCh,-1.0
close,48,1,0.623533,0.376467,1,pctCh,-1.0
close,49,1,0.631548,0.368452,1,pctCh,-1.0
close,50,1,0.625377,0.374623,1,pctCh,-1.0
close,51,0,0.638475,0.361525,1,pctCh,-1.0
close,52,1,0.647732,0.352268,1,pctCh,-1.0
close,53,0,0.703522,0.296478,1,pctCh,-1.0
close,54,0,0.669379,0.330621,1,pctCh,-1.0
close,55,0,0.653308,0.346692,1,pctCh,-1.0
close,56,1,0.651941,0.348059,1,pctCh,-1.0
close,57,1,0.622048,0.377952,1,pctCh,-1.0
close,58,0,0.698627,0.301373,1,pctCh,-1.0
close,59,1,0.655822,0.344178,1,pctCh,-1.0
close,60,0,0.671867,0.328133,1,pctCh,-1.0
close,61,0,0.648169,0.351831,1,pctCh,-1.0
close,62,0,0.637664,0.362336,1,pctCh,-1.0
close,63,1,0.613168,0.386832,1,pctCh,-1.0
close,64,1,0.6197,0.3803,1,pctCh,-1.0
close,65,0,0.657148,0.342852,1,pctCh,-1.0
close,66,0,0.685344,0.314656,1,pctCh,-1.0
close,67,1,0.61856,0.38144,1,pctCh,-1.0
close,68,1,0.690943,0.309057,1,pctCh,-1.0
close,69,0,0.701359,0.298641,1,pctCh,-1.0
close,70,1,0.618848,0.381152,1,pctCh,-1.0
close,71,1,0.639801,0.360199,1,pctCh,-1.0
close,72,1,0.671733,0.328267,1,pctCh,-1.0
close,73,0,0.673262,0.326738,1,pctCh,-1.0
close,74,0,0.643743,0.356257,1,pctCh,-1.0
close,75,0,0.651664,0.348336,1,pctCh,-1.0
close,76,1,0.667961,0.332039,1,pctCh,-1.0
close,77,0,0.636016,0.363984,1,pctCh,-1.0
close,78,1,0.590379,0.409621,1,pctCh,-1.0
close,79,0,0.690423,0.309577,1,pctCh,-1.0
close,80,1,0.687282,0.312718,1,pctCh,-1.0
close,81,1,0.654176,0.345824,1,pctCh,-1.0
close,82,1,0.660105,0.339895,1,pctCh,-1.0
close,83,1,0.639231,0.360769,1,pctCh,-1.0
close,84,1,0.621305,0.378695,1,pctCh,-1.0
close,85,0,0.633905,0.366095,1,pctCh,-1.0
close,86,0,0.696541,0.303459,1,pctCh,-1.0
close,87,1,0.671925,0.328075,1,pctCh,-1.0
close,88,1,0.65888,0.34112,1,pctCh,-1.0
close,89,1,0.596041,0.403959,1,pctCh,-1.0
close,90,1,0.635508,0.364492,1,pctCh,-1.0
close,91,1,0.670714,0.329286,1,pctCh,-1.0
close,92,0,0.66467,0.33533,1,pctCh,-1.0
close,93,0,0.686841,0.313159,1,pctCh,-1.0
close,94,1,0.620427,0.379573,1,pctCh,-1.0
close,95,0,0.666973,0.333027,1,pctCh,-1.0
close,96,0,0.68163,0.31837,1,pctCh,-1.0
close,97,1,0.681702,0.318298,1,pctCh,-1.0
