target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.0,0.0,1,peTTM,-1.0
close,2,0,0.641744,0.358256,1,peTTM,-1.0
close,3,1,0.6494,0.3506,1,peTTM,-1.0
close,4,1,0.653566,0.346434,1,peTTM,-1.0
close,5,1,0.666437,0.333563,1,peTTM,-1.0
close,6,1,0.612721,0.387279,1,peTTM,-1.0
close,7,0,0.657836,0.342164,1,peTTM,-1.0
close,8,0,0.608235,0.391765,1,peTTM,-1.0
close,9,0,0.66384,0.33616,1,peTTM,-1.0
close,10,1,0.595611,0.404389,1,peTTM,-1.0
close,11,1,0.649567,0.350433,1,peTTM,-1.0
close,12,0,0.654172,0.345828,1,peTTM,-1.0
close,13,0,0.620245,0.379755,1,peTTM,-1.0
close,14,1,0.648035,0.351965,1,peTTM,-1.0
close,15,1,0.644448,0.355552,1,peTTM,-1.0
close,16,1,0.656321,0.343679,1,peTTM,-1.0
close,17,1,0.608244,0.391756,1,peTTM,-1.0
close,18,0,0.646254,0.353746,1,peTTM,-1.0
close,19,0,0.639925,0.360075,1,peTTM,-1.0
close,20,0,0.621323,0.378677,1,peTTM,-1.0
close,21,1,0.600372,0.399628,1,peTTM,-1.0
close,22,0,0.645953,0.354047,1,peTTM,-1.0
close,23,0,0.639027,0.360973,1,peTTM,-1.0
close,24,0,0.66464,0.33536,1,peTTM,-1.0
close,25,0,0.58514,0.41486,1,peTTM,-1.0
close,26,1,0.594864,0.405136,1,peTTM,-1.0
close,27,1,0.662847,0.337153,1,peTTM,-1.0
close,28,1,0.614938,0.385062,1,peTTM,-1.0
close,29,0,0.600993,0.399007,1,peTTM,-1.0
close,30,0,0.644844,0.355156,1,peTTM,-1.0
close,31,0,0.601854,0.398146,1,peTTM,-1.0
close,32,0,0.633112,0.366888,1,peTTM,-1.0
close,33,0,0.636453,0.363547,1,peTTM,-1.0
close,34,1,0.612638,0.387362,1,peTTM,-1.0
close,35,1,0.659274,0.340726,1,peTTM,-1.0
close,36,0,0.679117,0.320883,1,peTTM,-1.0
close,37,0,0.684868,0.315132,1,peTTM,-1.0
close,38,0,0.675012,0.324988,1,peTTM,-1.0
close,39,0,0.646822,0.353178,1,peTTM,-1.0
close,40,1,0.655398,0.344602,1,peTTM,-1.0
