target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.697293,0.302707,0,psTTM,0.3407
close,2,0,0.640642,0.359358,1,psTTM,0.3407
close,3,1,0.659281,0.340719,1,psTTM,0.3407
close,4,1,0.620096,0.379904,1,psTTM,0.3407
close,5,1,0.664436,0.335564,0,psTTM,0.3407
close,6,1,0.703119,0.296881,0,psTTM,0.3407
close,7,0,0.684991,0.315009,0,psTTM,0.3407
close,8,0,0.634287,0.365713,1,psTTM,0.3407
close,9,0,0.66498,0.33502,0,psTTM,0.3407
close,10,1,0.640141,0.359859,1,psTTM,0.3407
close,11,1,0.629096,0.370904,1,psTTM,0.3407
close,12,0,0.631094,0.368906,1,psTTM,0.3407
close,13,0,0.642633,0.357367,1,psTTM,0.3407
close,14,1,0.610666,0.389334,1,psTTM,0.3407
close,15,1,0.624863,0.375137,1,psTTM,0.3407
close,16,1,0.664253,0.335747,0,psTTM,0.3407
close,17,1,0.637256,0.362744,1,psTTM,0.3407
close,18,0,0.664799,0.335201,0,psTTM,0.3407
close,19,0,0.612087,0.387913,1,psTTM,0.3407
close,20,0,0.623089,0.376911,1,psTTM,0.3407
close,21,1,0.656055,0.343945,1,psTTM,0.3407
close,22,0,0.627699,0.372301,1,psTTM,0.3407
close,23,0,0.653629,0.346371,1,psTTM,0.3407
close,24,0,0.61399,0.38601,1,psTTM,0.3407
close,25,0,0.626675,0.373325,1,psTTM,0.3407
close,26,1,0.631187,0.368813,1,psTTM,0.3407
close,27,1,0.626363,0.373637,1,psTTM,0.3407
close,28,1,0.621106,0.378894,1,psTTM,0.3407
close,29,0,0.659714,0.340286,0,psTTM,0.3407
close,30,0,0.63546,0.36454,1,psTTM,0.3407
close,31,0,0.618758,0.381242,1,psTTM,0.3407
close,32,0,0.672209,0.327791,0,psTTM,0.3407
close,33,0,0.664825,0.335175,0,psTTM,0.3407
close,34,1,0.607502,0.392498,1,psTTM,0.3407
close,35,1,0.667696,0.332304,0,psTTM,0.3407
close,36,0,0.688794,0.311206,0,psTTM,0.3407
close,37,0,0.694263,0.305737,0,psTTM,0.3407
close,38,0,0.601705,0.398295,1,psTTM,0.3407
close,39,0,0.663046,0.336954,0,psTTM,0.3407
close,40,1,0.667252,0.332748,0,psTTM,0.3407
close,41,1,0.635959,0.364041,1,psTTM,0.3407
close,42,1,0.6464,0.3536,1,psTTM,0.3407
close,43,0,0.675079,0.324921,0,psTTM,0.3407
close,44,1,0.622476,0.377524,1,psTTM,0.3407
close,45,1,0.637549,0.362451,1,psTTM,0.3407
close,46,0,0.671825,0.328175,0,psTTM,0.3407
close,47,1,0.644098,0.355902,1,psTTM,0.3407
close,48,1,0.658733,0.341267,1,psTTM,0.3407
close,49,1,0.660432,0.339568,0,psTTM,0.3407
close,50,1,0.650814,0.349186,1,psTTM,0.3407
close,51,0,0.668238,0.331762,0,psTTM,0.3407
close,52,1,0.655331,0.344669,1,psTTM,0.3407
close,53,0,0.660918,0.339082,0,psTTM,0.3407
close,54,0,0.661548,0.338452,0,psTTM,0.3407
close,55,0,0.659619,0.340381,0,psTTM,0.3407
close,56,1,0.58414,0.41586,1,psTTM,0.3407
close,57,1,0.640106,0.359894,1,psTTM,0.3407
close,58,0,0.663877,0.336123,0,psTTM,0.3407
