target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.661211,0.338789,0,turn,0.99
close,2,0,0.642454,0.357546,0,turn,0.99
close,3,1,0.640343,0.359657,0,turn,0.99
close,4,1,0.653474,0.346526,0,turn,0.99
close,5,1,0.59763,0.40237,0,turn,0.99
close,6,1,0.717542,0.282458,0,turn,0.99
close,7,0,0.634452,0.365548,0,turn,0.99
close,8,0,0.646475,0.353525,0,turn,0.99
close,9,0,0.701632,0.298368,0,turn,0.99
close,10,1,0.64136,0.35864,0,turn,0.99
close,11,1,0.67646,0.32354,0,turn,0.99
close,12,0,0.672681,0.327319,0,turn,0.99
close,13,0,0.686244,0.313756,0,turn,0.99
close,14,1,0.62465,0.37535,0,turn,0.99
close,15,1,0.58536,0.41464,0,turn,0.99
close,16,1,0.657811,0.342189,0,turn,0.99
close,17,1,0.598977,0.401023,0,turn,0.99
close,18,0,0.627379,0.372621,0,turn,0.99
close,19,0,0.666906,0.333094,0,turn,0.99
close,20,0,0.660432,0.339568,0,turn,0.99
close,21,1,0.666856,0.333144,0,turn,0.99
close,22,0,0.703649,0.296351,0,turn,0.99
close,23,0,0.657401,0.342599,0,turn,0.99
close,24,0,0.658566,0.341434,0,turn,0.99
close,25,0,0.721018,0.278982,0,turn,0.99
close,26,1,0.613151,0.386849,0,turn,0.99
close,27,1,0.646683,0.353317,0,turn,0.99
close,28,1,0.617574,0.382426,0,turn,0.99
close,29,0,0.67048,0.32952,0,turn,0.99
close,30,0,0.644331,0.355669,0,turn,0.99
close,31,0,0.665839,0.334161,0,turn,0.99
close,32,0,0.688125,0.311875,0,turn,0.99
close,33,0,0.618912,0.381088,0,turn,0.99
close,34,1,0.602249,0.397751,0,turn,0.99
close,35,1,0.679837,0.320163,0,turn,0.99
close,36,0,0.650009,0.349991,0,turn,0.99
close,37,0,0.635541,0.364459,0,turn,0.99
close,38,0,0.703312,0.296688,0,turn,0.99
close,39,0,0.687032,0.312968,0,turn,0.99
close,40,1,0.690922,0.309078,0,turn,0.99
close,41,1,0.645263,0.354737,0,turn,0.99
close,42,1,0.621454,0.378546,0,turn,0.99
close,43,0,0.686698,0.313302,0,turn,0.99
close,44,1,0.655568,0.344432,0,turn,0.99
close,45,1,0.621353,0.378647,0,turn,0.99
close,46,0,0.670871,0.329129,0,turn,0.99
close,47,1,0.602483,0.397517,0,turn,0.99
close,48,1,0.648547,0.351453,0,turn,0.99
close,49,1,0.665717,0.334283,0,turn,0.99
close,50,1,0.658717,0.341283,0,turn,0.99
close,51,0,0.689601,0.310399,0,turn,0.99
close,52,1,0.636259,0.363741,0,turn,0.99
close,53,0,0.667516,0.332484,0,turn,0.99
close,54,0,0.657581,0.342419,0,turn,0.99
close,55,0,0.660848,0.339152,0,turn,0.99
close,56,1,0.646001,0.353999,0,turn,0.99
close,57,1,0.621011,0.378989,0,turn,0.99
close,58,0,0.670118,0.329882,0,turn,0.99
close,59,1,0.658185,0.341815,0,turn,0.99
close,60,0,0.64174,0.35826,0,turn,0.99
close,61,0,0.661272,0.338728,0,turn,0.99
close,62,0,0.638009,0.361991,0,turn,0.99
close,63,1,0.661122,0.338878,0,turn,0.99
close,64,1,0.647896,0.352104,0,turn,0.99
close,65,0,0.692434,0.307566,0,turn,0.99
close,66,0,0.660151,0.339849,0,turn,0.99
close,67,1,0.655958,0.344042,0,turn,0.99
close,68,1,0.619774,0.380226,0,turn,0.99
close,69,0,0.658983,0.341017,0,turn,0.99
close,70,1,0.624953,0.375047,0,turn,0.99
close,71,1,0.638237,0.361763,0,turn,0.99
close,72,1,0.66278,0.33722,0,turn,0.99
close,73,0,0.655834,0.344166,0,turn,0.99
close,74,0,0.688892,0.311108,0,turn,0.99
close,75,0,0.678882,0.321118,0,turn,0.99
close,76,1,0.637489,0.362511,0,turn,0.99
close,77,0,0.686868,0.313132,0,turn,0.99
close,78,1,0.669203,0.330797,0,turn,0.99
close,79,0,0.667282,0.332718,0,turn,0.99
close,80,1,0.623693,0.376307,0,turn,0.99
close,81,1,0.614678,0.385322,0,turn,0.99
close,82,1,0.617235,0.382765,0,turn,0.99
close,83,1,0.634791,0.365209,0,turn,0.99
close,84,1,0.654928,0.345072,0,turn,0.99
close,85,0,0.660184,0.339816,0,turn,0.99
close,86,0,0.655259,0.344741,0,turn,0.99
close,87,1,0.68162,0.31838,0,turn,0.99
close,88,1,0.658536,0.341464,0,turn,0.99
close,89,1,0.686601,0.313399,0,turn,0.99
close,90,1,0.658585,0.341415,0,turn,0.99
close,91,1,0.652097,0.347903,0,turn,0.99
close,92,0,0.673778,0.326222,0,turn,0.99
close,93,0,0.651159,0.348841,0,turn,0.99
close,94,1,0.647955,0.352045,0,turn,0.99
close,95,0,0.654027,0.345973,0,turn,0.99
close,96,0,0.679265,0.320735,0,turn,0.99
close,97,1,0.656164,0.343836,0,turn,0.99
close,98,1,0.637163,0.362837,0,turn,0.99
close,99,1,0.652375,0.347625,0,turn,0.99
close,100,0,0.612193,0.387807,0,turn,0.99
close,101,1,0.652493,0.347507,0,turn,0.99
close,102,0,0.672297,0.327703,0,turn,0.99
close,103,0,0.678152,0.321848,0,turn,0.99
close,104,0,0.674528,0.325472,0,turn,0.99
close,105,1,0.654161,0.345839,0,turn,0.99
close,106,0,0.698263,0.301737,0,turn,0.99
close,107,0,0.674183,0.325817,0,turn,0.99
close,108,0,0.61395,0.38605,0,turn,0.99
close,109,0,0.708902,0.291098,0,turn,0.99
close,110,1,0.641851,0.358149,0,turn,0.99
close,111,0,0.672957,0.327043,0,turn,0.99
close,112,0,0.6491,0.3509,0,turn,0.99
close,113,1,0.634227,0.365773,0,turn,0.99
close,114,1,0.625446,0.374554,0,turn,0.99
close,115,0,0.665668,0.334332,0,turn,0.99
close,116,0,0.641914,0.358086,0,turn,0.99
close,117,1,0.661078,0.338922,0,turn,0.99
close,118,1,0.6352,0.3648,0,turn,0.99
close,119,1,0.621195,0.378805,0,turn,0.99
close,120,0,0.643289,0.356711,0,turn,0.99
close,121,0,0.662209,0.337791,0,turn,0.99
close,122,1,0.625831,0.374169,0,turn,0.99
close,123,1,0.619905,0.380095,0,turn,0.99
close,124,0,0.664723,0.335277,0,turn,0.99
close,125,1,0.639634,0.360366,0,turn,0.99
close,126,0,0.673138,0.326862,0,turn,0.99
close,127,0,0.686367,0.313633,0,turn,0.99
close,128,0,0.60688,0.39312,0,turn,0.99
close,129,1,0.652683,0.347317,0,turn,0.99
close,130,0,0.65022,0.34978,0,turn,0.99
close,131,0,0.662082,0.337918,0,turn,0.99
close,132,0,0.657669,0.342331,0,turn,0.99
close,133,1,0.674729,0.325271,0,turn,0.99
close,134,1,0.614537,0.385463,0,turn,0.99
close,135,1,0.648714,0.351286,0,turn,0.99
close,136,0,0.676199,0.323801,0,turn,0.99
close,137,1,0.625306,0.374694,0,turn,0.99
close,138,0,0.687367,0.312633,0,turn,0.99
close,139,0,0.687868,0.312132,0,turn,0.99
close,140,1,0.621051,0.378949,0,turn,0.99
close,141,1,0.639266,0.360734,0,turn,0.99
close,142,1,0.675068,0.324932,0,turn,0.99
close,143,0,0.670822,0.329178,0,turn,0.99
close,144,1,0.643285,0.356715,0,turn,0.99
close,145,0,0.640871,0.359129,0,turn,0.99
close,146,0,0.656453,0.343547,0,turn,0.99
close,147,0,0.648837,0.351163,0,turn,0.99
close,148,0,0.676543,0.323457,0,turn,0.99
close,149,1,0.659147,0.340853,0,turn,0.99
close,150,1,0.631166,0.368834,0,turn,0.99
close,151,1,0.627783,0.372217,0,turn,0.99
close,152,0,0.661188,0.338812,0,turn,0.99
close,153,0,0.651866,0.348134,0,turn,0.99
close,154,0,0.671109,0.328891,0,turn,0.99
close,155,1,0.621089,0.378911,0,turn,0.99
close,156,1,0.641327,0.358673,0,turn,0.99
close,157,1,0.63223,0.36777,0,turn,0.99
close,158,0,0.658084,0.341916,0,turn,0.99
