target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,1,1,0.0,0.0,1,volume,-1.0
close,2,0,0.669979,0.330021,1,volume,-1.0
close,3,1,0.633741,0.366259,1,volume,-1.0
close,4,1,0.662728,0.337272,1,volume,-1.0
close,5,1,0.65171,0.34829,1,volume,-1.0
close,6,1,0.673664,0.326336,1,volume,-1.0
close,7,0,0.651263,0.348737,1,volume,-1.0
close,8,0,0.648705,0.351295,1,volume,-1.0
close,9,0,0.677551,0.322449,1,volume,-1.0
close,10,1,0.657701,0.342299,1,volume,-1.0
close,11,1,0.650737,0.349263,1,volume,-1.0
close,12,0,0.642211,0.357789,1,volume,-1.0
close,13,0,0.691695,0.308305,1,volume,-1.0
close,14,1,0.67583,0.32417,1,volume,-1.0
close,15,1,0.690068,0.309932,1,volume,-1.0
close,16,1,0.657343,0.342657,1,volume,-1.0
close,17,1,0.668109,0.331891,1,volume,-1.0
close,18,0,0.646399,0.353601,1,volume,-1.0
close,19,0,0.667971,0.332029,1,volume,-1.0
close,20,0,0.67769,0.32231,1,volume,-1.0
close,21,1,0.630104,0.369896,1,volume,-1.0
close,22,0,0.665966,0.334034,1,volume,-1.0
close,23,0,0.653011,0.346989,1,volume,-1.0
close,24,0,0.659704,0.340296,1,volume,-1.0
close,25,0,0.680083,0.319917,1,volume,-1.0
close,26,1,0.66173,0.33827,1,volume,-1.0
close,27,1,0.663747,0.336253,1,volume,-1.0
close,28,1,0.658562,0.341438,1,volume,-1.0
close,29,0,0.689497,0.310503,1,volume,-1.0
close,30,0,0.680845,0.319155,1,volume,-1.0
close,31,0,0.660412,0.339588,1,volume,-1.0
close,32,0,0.67478,0.32522,1,volume,-1.0
close,33,0,0.669232,0.330768,1,volume,-1.0
close,34,1,0.628569,0.371431,1,volume,-1.0
close,35,1,0.665592,0.334408,1,volume,-1.0
close,36,0,0.655801,0.344199,1,volume,-1.0
close,37,0,0.648719,0.351281,1,volume,-1.0
close,38,0,0.65621,0.34379,1,volume,-1.0
close,39,0,0.671169,0.328831,1,volume,-1.0
close,40,1,0.642036,0.357964,1,volume,-1.0
close,41,1,0.582109,0.417891,1,volume,-1.0
close,42,1,0.629313,0.370687,1,volume,-1.0
close,43,0,0.680365,0.319635,1,volume,-1.0
close,44,1,0.666983,0.333017,1,volume,-1.0
close,45,1,0.637939,0.362061,1,volume,-1.0
close,46,0,0.657289,0.342711,1,volume,-1.0
close,47,1,0.667716,0.332284,1,volume,-1.0
close,48,1,0.673302,0.326698,1,volume,-1.0
close,49,1,0.636461,0.363539,1,volume,-1.0
close,50,1,0.65515,0.34485,1,volume,-1.0
close,51,0,0.705381,0.294619,1,volume,-1.0
close,52,1,0.633472,0.366528,1,volume,-1.0
close,53,0,0.68448,0.31552,1,volume,-1.0
close,54,0,0.661117,0.338883,1,volume,-1.0
close,55,0,0.676742,0.323258,1,volume,-1.0
close,56,1,0.652152,0.347848,1,volume,-1.0
close,57,1,0.647744,0.352256,1,volume,-1.0
close,58,0,0.664562,0.335438,1,volume,-1.0
close,59,1,0.640441,0.359559,1,volume,-1.0
close,60,0,0.630393,0.369607,1,volume,-1.0
close,61,0,0.658271,0.341729,1,volume,-1.0
close,62,0,0.672512,0.327488,1,volume,-1.0
close,63,1,0.637783,0.362217,1,volume,-1.0
close,64,1,0.632778,0.367222,1,volume,-1.0
close,65,0,0.684094,0.315906,1,volume,-1.0
close,66,0,0.708791,0.291209,1,volume,-1.0
close,67,1,0.620954,0.379046,1,volume,-1.0
close,68,1,0.612307,0.387693,1,volume,-1.0
close,69,0,0.728991,0.271009,1,volume,-1.0
close,70,1,0.657359,0.342641,1,volume,-1.0
close,71,1,0.640172,0.359828,1,volume,-1.0
close,72,1,0.665205,0.334795,1,volume,-1.0
close,73,0,0.679226,0.320774,1,volume,-1.0
close,74,0,0.660956,0.339044,1,volume,-1.0
close,75,0,0.646034,0.353966,1,volume,-1.0
