loc_id,varsrc,vartgt,num_models,auc,tpr,fpr,horizon
./stock2015_2017/models/0model,pcfNcfTTM,open,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/0model,open,open,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/0model,peTTM,open,85,0.999995,1.0,0.0,0
./stock2015_2017/models/0model,amount,open,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/0model,psTTM,open,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/0model,high,open,85,0.749997,0.666667,0.0,0
./stock2015_2017/models/0model,pctChg,open,85,0.416667,-1.0,-1.0,0
./stock2015_2017/models/0model,pbMRQ,open,85,0.999995,1.0,0.0,0
./stock2015_2017/models/0model,close,open,85,0.75,-1.0,0.5,0
./stock2015_2017/models/0model,turn,open,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/0model,low,open,85,0.749997,0.666667,0.0,0
./stock2015_2017/models/0model,volume,open,85,0.999995,1.0,0.0,0
./stock2015_2017/models/0model,ALL,open,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/1model,pcfNcfTTM,high,85,0.5,-1.0,-1.0,0
./stock2015_2017/models/1model,open,high,85,0.749997,0.5,0.666667,0
./stock2015_2017/models/1model,peTTM,high,85,0.749997,0.5,0.666667,0
./stock2015_2017/models/1model,amount,high,85,0.999995,1.0,0.0,0
./stock2015_2017/models/1model,psTTM,high,85,0.5,-1.0,-1.0,0
./stock2015_2017/models/1model,high,high,85,0.583331,0.5,-1.0,0
./stock2015_2017/models/1model,pctChg,high,85,0.166667,-1.0,-1.0,0
./stock2015_2017/models/1model,pbMRQ,high,85,0.749997,0.5,0.666667,0
./stock2015_2017/models/1model,close,high,85,0.833333,-1.0,0.333333,0
./stock2015_2017/models/1model,turn,high,85,0.5,-1.0,0.666667,0
./stock2015_2017/models/1model,low,high,85,0.583331,0.5,-1.0,0
./stock2015_2017/models/1model,volume,high,85,0.999995,1.0,0.0,0
./stock2015_2017/models/1model,ALL,high,85,0.749997,0.5,0.666667,0
./stock2015_2017/models/2model,pcfNcfTTM,low,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/2model,open,low,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/2model,peTTM,low,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/2model,amount,low,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/2model,psTTM,low,85,0.999995,1.0,0.0,0
./stock2015_2017/models/2model,high,low,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/2model,pctChg,low,85,0.416667,-1.0,-1.0,0
./stock2015_2017/models/2model,pbMRQ,low,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/2model,close,low,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/2model,turn,low,85,0.75,-1.0,0.5,0
./stock2015_2017/models/2model,low,low,85,0.416667,-1.0,-1.0,0
./stock2015_2017/models/2model,volume,low,85,0.25,-1.0,-1.0,0
./stock2015_2017/models/2model,ALL,low,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/3model,pcfNcfTTM,close,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/3model,open,close,85,0.25,-1.0,-1.0,0
./stock2015_2017/models/3model,peTTM,close,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/3model,amount,close,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/3model,psTTM,close,85,0.75,-1.0,0.5,0
./stock2015_2017/models/3model,high,close,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/3model,pctChg,close,85,0.666663,0.333333,0.5,0
./stock2015_2017/models/3model,pbMRQ,close,85,0.5,-1.0,-1.0,0
./stock2015_2017/models/3model,close,close,85,0.999995,1.0,0.0,0
./stock2015_2017/models/3model,turn,close,85,0.25,-1.0,-1.0,0
./stock2015_2017/models/3model,low,close,85,0.749997,0.666667,0.0,0
./stock2015_2017/models/3model,volume,close,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/3model,ALL,close,85,0.666663,0.333333,0.5,0
./stock2015_2017/models/4model,pcfNcfTTM,volume,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/4model,open,volume,85,0.749997,0.666667,0.0,0
./stock2015_2017/models/4model,peTTM,volume,85,0.75,-1.0,0.5,0
./stock2015_2017/models/4model,amount,volume,85,0.999995,1.0,0.0,0
./stock2015_2017/models/4model,psTTM,volume,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/4model,high,volume,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/4model,pctChg,volume,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/4model,pbMRQ,volume,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/4model,close,volume,85,0.75,-1.0,0.5,0
./stock2015_2017/models/4model,turn,volume,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/4model,low,volume,85,0.999995,1.0,0.0,0
./stock2015_2017/models/4model,volume,volume,85,0.666663,0.333333,0.5,0
./stock2015_2017/models/4model,ALL,volume,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/5model,pcfNcfTTM,amount,85,0.999995,1.0,0.0,0
./stock2015_2017/models/5model,open,amount,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/5model,peTTM,amount,85,0.749997,0.666667,0.0,0
./stock2015_2017/models/5model,amount,amount,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/5model,psTTM,amount,85,0.999995,1.0,0.0,0
./stock2015_2017/models/5model,high,amount,85,0.999995,1.0,0.0,0
./stock2015_2017/models/5model,pctChg,amount,85,0.999995,1.0,0.0,0
./stock2015_2017/models/5model,pbMRQ,amount,85,0.666663,0.333333,0.5,0
./stock2015_2017/models/5model,close,amount,85,0.999995,1.0,0.0,0
./stock2015_2017/models/5model,turn,amount,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/5model,low,amount,85,0.416667,-1.0,-1.0,0
./stock2015_2017/models/5model,volume,amount,85,0.75,-1.0,0.5,0
./stock2015_2017/models/5model,ALL,amount,85,0.999995,1.0,0.0,0
./stock2015_2017/models/6model,pcfNcfTTM,turn,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/6model,open,turn,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/6model,peTTM,turn,85,0.999995,1.0,0.0,0
./stock2015_2017/models/6model,amount,turn,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/6model,psTTM,turn,85,0.75,-1.0,0.5,0
./stock2015_2017/models/6model,high,turn,85,0.999995,1.0,0.0,0
./stock2015_2017/models/6model,pctChg,turn,85,0.749997,0.666667,0.0,0
./stock2015_2017/models/6model,pbMRQ,turn,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/6model,close,turn,85,0.999995,1.0,0.0,0
./stock2015_2017/models/6model,turn,turn,85,0.999995,1.0,0.0,0
./stock2015_2017/models/6model,low,turn,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/6model,volume,turn,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/6model,ALL,turn,85,0.999995,1.0,0.0,0
./stock2015_2017/models/7model,pcfNcfTTM,pctChg,85,0.916662,0.5,0.333333,0
./stock2015_2017/models/7model,open,pctChg,85,0.999995,1.0,0.0,0
./stock2015_2017/models/7model,peTTM,pctChg,85,0.583331,0.5,-1.0,0
./stock2015_2017/models/7model,amount,pctChg,85,0.999995,1.0,0.0,0
./stock2015_2017/models/7model,psTTM,pctChg,85,0.166667,-1.0,-1.0,0
./stock2015_2017/models/7model,high,pctChg,85,0.916662,0.5,0.333333,0
./stock2015_2017/models/7model,pctChg,pctChg,85,0.166667,-1.0,-1.0,0
