lattgt1 lattgt2 lontgt1 lontgt2 tpr
41.62222 41.68333 -87.74444 -87.66667 0.622222
41.62222 41.68333 -87.66667 -87.58889 0.947154
41.62222 41.68333 -87.58889 -87.51111 0.925
41.68333 41.744440000000004 -87.74444 -87.66667 0.990132
41.68333 41.744440000000004 -87.58889 -87.51111 -1.0
41.744440000000004 41.80556 -87.82222 -87.74444 0.742574
41.80556 41.86667 -87.82222 -87.74444 0.770053
41.92778 41.988890000000005 -87.9 -87.82222 0.99711
41.92778 41.988890000000005 -87.82222 -87.74444 -1.0
41.92778 41.988890000000005 -87.66667 -87.58889 -1.0
41.988890000000005 42.05 -87.82222 -87.74444 0.985816
41.988890000000005 42.05 -87.74444 -87.66667 0.981273
41.988890000000005 42.05 -87.66667 -87.58889 0.996667
